fixtureId,kickoffAt,snapshots,usableT90Snapshots,earliestCapturedAt,latestCapturedAt,earliestMinutesFromKickoff,latestMinutesFromKickoff
744,2024-11-23T15:00:00.000Z,0,0,,,,
745,2024-11-23T17:30:00.000Z,0,0,,,,
746,2024-11-24T14:00:00.000Z,0,0,,,,
747,2024-11-24T16:30:00.000Z,0,0,,,,
748,2024-11-25T20:00:00.000Z,0,0,,,,
749,2024-11-29T20:00:00.000Z,0,0,,,,
750,2024-11-30T15:00:00.000Z,0,0,,,,
751,2024-11-30T15:00:00.000Z,0,0,,,,
752,2024-11-30T15:00:00.000Z,0,0,,,,
753,2024-11-30T15:00:00.000Z,0,0,,,,
754,2024-11-30T17:30:00.000Z,0,0,,,,
755,2024-12-01T13:30:00.000Z,0,0,,,,
756,2024-12-01T13:30:00.000Z,0,0,,,,
757,2024-12-01T13:30:00.000Z,0,0,,,,
758,2024-12-01T16:00:00.000Z,0,0,,,,
759,2024-12-03T19:30:00.000Z,0,0,,,,
760,2024-12-03T20:15:00.000Z,0,0,,,,
761,2024-12-04T19:30:00.000Z,0,0,,,,
762,2024-12-04T19:30:00.000Z,0,0,,,,
763,2024-12-04T19:30:00.000Z,0,0,,,,
764,2024-12-04T19:30:00.000Z,0,0,,,,
765,2024-12-04T20:15:00.000Z,0,0,,,,
766,2024-12-04T20:15:00.000Z,0,0,,,,
767,2024-12-05T19:30:00.000Z,0,0,,,,
768,2024-12-05T20:15:00.000Z,0,0,,,,
769,2024-12-07T15:00:00.000Z,0,0,,,,
770,2024-12-07T15:00:00.000Z,0,0,,,,
771,2024-12-07T15:00:00.000Z,0,0,,,,
772,2024-12-07T17:30:00.000Z,0,0,,,,
773,2024-12-08T14:00:00.000Z,0,0,,,,
774,2024-12-08T14:00:00.000Z,0,0,,,,
775,2024-12-08T14:00:00.000Z,0,0,,,,
776,2024-12-08T16:30:00.000Z,0,0,,,,
777,2024-12-09T20:00:00.000Z,0,0,,,,
778,2024-12-14T15:00:00.000Z,0,0,,,,
779,2024-12-14T15:00:00.000Z,0,0,,,,
780,2024-12-14T15:00:00.000Z,0,0,,,,
781,2024-12-14T15:00:00.000Z,0,0,,,,
782,2024-12-14T17:30:00.000Z,0,0,,,,
783,2024-12-15T14:00:00.000Z,0,0,,,,
784,2024-12-15T16:30:00.000Z,0,0,,,,
785,2024-12-15T19:00:00.000Z,0,0,,,,
786,2024-12-15T19:00:00.000Z,0,0,,,,
787,2024-12-16T20:00:00.000Z,0,0,,,,
788,2024-12-21T12:30:00.000Z,0,0,,,,
789,2024-12-21T15:00:00.000Z,0,0,,,,
790,2024-12-21T15:00:00.000Z,0,0,,,,
791,2024-12-21T15:00:00.000Z,0,0,,,,
792,2024-12-21T17:30:00.000Z,0,0,,,,
793,2024-12-22T14:00:00.000Z,0,0,,,,
794,2024-12-22T14:00:00.000Z,0,0,,,,
795,2024-12-22T14:00:00.000Z,0,0,,,,
796,2024-12-22T14:00:00.000Z,0,0,,,,
797,2024-12-22T16:30:00.000Z,0,0,,,,
798,2024-12-26T12:30:00.000Z,0,0,,,,
799,2024-12-26T15:00:00.000Z,0,0,,,,
800,2024-12-26T15:00:00.000Z,0,0,,,,
801,2024-12-26T15:00:00.000Z,0,0,,,,
802,2024-12-26T15:00:00.000Z,0,0,,,,
803,2024-12-26T15:00:00.000Z,0,0,,,,
804,2024-12-26T17:30:00.000Z,0,0,,,,
805,2024-12-26T20:00:00.000Z,0,0,,,,
806,2024-12-27T19:30:00.000Z,0,0,,,,
807,2024-12-27T20:15:00.000Z,0,0,,,,
808,2024-12-29T14:30:00.000Z,0,0,,,,
809,2024-12-29T15:00:00.000Z,0,0,,,,
810,2024-12-29T15:00:00.000Z,0,0,,,,
811,2024-12-29T15:00:00.000Z,0,0,,,,
812,2024-12-29T15:00:00.000Z,0,0,,,,
813,2024-12-29T17:15:00.000Z,0,0,,,,
814,2024-12-30T19:45:00.000Z,0,0,,,,
815,2024-12-30T19:45:00.000Z,0,0,,,,
816,2024-12-30T20:00:00.000Z,0,0,,,,
